"","name","full_team","team","year","games_in_season","num_games_missing","num_games_injured","injury_types","earliest_injury","latest_injury","position_id","NFL_draft_year","NFL_draft_round","NFL_draft_rank","height_inches","weight_pounds","birthdate","forty_yd","three_cone","bench","broad_jump","combine_height","combine_weight","shuttle","vertical","game_starter"
"158","Brodie Croyle","Kansas City Chiefs","kan",2009,NA,NA,NA,NA,NA,NA,"QB",2006,3,85,74,206,"1983-02-06",4.88,7.34,0,104,74,205,4.25,30.5,0
"193","Red Bryant","Seattle Seahawks","sea",2009,16,1,1,"knee",11,11,"DEF",2008,4,121,77,326,"1984-04-18",5,7.75,20,111,76,318,4.64,28,0
"203","Tom Santi","Indianapolis Colts","clt",2009,19,9,11,"ankle  hip hand back",1,19,"TE",2008,6,196,77,250,"1985-11-22",4.8,7.08,14,121,75,250,4.27,36,0
"207","Nick Hayden","Carolina Panthers","car",2009,16,2,3,"toe",2,5,"DEF",2008,6,181,76,295,"1986-02-04",5.14,7.55,34,108,76,291,4.54,27,0
"211","Roberto Garza","Chicago Bears","chi",2009,16,0,1,"ankle",11,11,"OL",2001,4,99,74,310,"1979-03-26",5,7.71,37,114,74,303,4.53,32.5,1
"214","Will Beatty","New York Giants","nyg",2009,NA,NA,NA,NA,NA,NA,"OL",2009,2,60,78,291,"1985-03-02",5.06,7.62,27,107,78,307,4.77,33.5,1
"216","Donald Penn","Tampa Bay Buccaneers","tam",2009,16,0,2,"ankle knee",6,12,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"217","Peyton Hillis","Denver Broncos","den",2009,16,0,1,"head",4,4,"RB",2008,7,227,73,240,"1986-01-21",4.64,7.15,26,117,73,240,0,30.5,0
"218","Rudy Niswanger","Kansas City Chiefs","kan",2009,16,0,1,"knee",8,8,"OL",NA,NA,NA,77,301,"1982-11-09",NA,NA,NA,NA,NA,NA,NA,NA,1
"219","Derrick Dockery","Washington Football Team","was",2009,NA,NA,NA,NA,NA,NA,"OL",2003,3,81,78,325,"1980-09-07",5.58,0,0,92,78,347,0,25,1
"220","Leonard Weaver","Philadelphia Eagles","phi",2009,17,0,5,"knee  ankle hamstring",1,14,"RB",NA,NA,NA,72,250,"1982-09-23",NA,NA,NA,NA,NA,NA,NA,NA,1
"221","LeSean McCoy","Philadelphia Eagles","phi",2009,NA,NA,NA,NA,NA,NA,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,0
"222","Kyries Hebert","Cincinnati Bengals","cin",2009,17,1,5,"hip knee",5,14,"DEF",NA,NA,NA,75,220,"1980-10-09",NA,NA,NA,NA,NA,NA,NA,NA,0
"223","Sebastian Vollmer","New England Patriots","nwe",2009,17,2,3,"head",11,13,"OL",2009,2,58,80,315,"1984-07-10",NA,NA,NA,NA,NA,NA,NA,NA,1
"229","Bryant McKinnie","Minnesota Vikings","min",2009,18,0,2,"back ankle",12,13,"OL",2002,1,7,80,360,"1979-09-23",5.13,0,0,0,80,343,0,0,1
"230","Sedrick Ellis","New Orleans Saints","nor",2009,19,6,9,"knee",7,16,"DEF",2008,1,7,73,308,"1985-07-09",5.26,7.78,34,105,72,309,4.73,26.5,1
"231","Carl Nicks","New Orleans Saints","nor",2009,19,0,2,"illness back",11,14,"OL",2008,5,164,77,343,"1985-05-14",5.22,7.91,31,109,77,341,4.68,25.5,1
"240","Leonard Weaver","Philadelphia Eagles","phi",2010,17,16,16,"knee",2,17,"RB",NA,NA,NA,72,250,"1982-09-23",NA,NA,NA,NA,NA,NA,NA,NA,0
"309","Red Bryant","Seattle Seahawks","sea",2010,18,11,11,"knee",8,18,"DEF",2008,4,121,77,326,"1984-04-18",5,7.75,20,111,76,318,4.64,28,1
"337","Derrick Dockery","Washington Football Team","was",2010,16,2,2,"knee",11,12,"OL",2003,3,81,78,325,"1980-09-07",5.58,0,0,92,78,347,0,25,0
"353","Rudy Niswanger","Kansas City Chiefs","kan",2010,NA,NA,NA,NA,NA,NA,"OL",NA,NA,NA,77,301,"1982-11-09",NA,NA,NA,NA,NA,NA,NA,NA,0
"389","Brodie Croyle","Kansas City Chiefs","kan",2010,NA,NA,NA,NA,NA,NA,"QB",2006,3,85,74,206,"1983-02-06",4.88,7.34,0,104,74,205,4.25,30.5,0
"396","Peyton Hillis","Cleveland Browns","cle",2010,16,0,5,"thigh ankle back",5,16,"RB",2008,7,227,73,240,"1986-01-21",4.64,7.15,26,117,73,240,0,30.5,0
"397","Will Beatty","New York Giants","nyg",2010,16,7,8,"foot",2,9,"OL",2009,2,60,78,291,"1985-03-02",5.06,7.62,27,107,78,307,4.77,33.5,0
"398","Bryant McKinnie","Minnesota Vikings","min",2010,16,0,3,"finger",2,4,"OL",2002,1,7,80,360,"1979-09-23",5.13,0,0,0,80,343,0,0,1
"400","Nick Hayden","Carolina Panthers","car",2010,16,0,1,"head",16,16,"DEF",2008,6,181,76,295,"1986-02-04",5.14,7.55,34,108,76,291,4.54,27,1
"403","Donald Penn","Tampa Bay Buccaneers","tam",2010,NA,NA,NA,NA,NA,NA,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"404","Sedrick Ellis","New Orleans Saints","nor",2010,17,0,2,"quadriceps wrist",11,15,"DEF",2008,1,7,73,308,"1985-07-09",5.26,7.78,34,105,72,309,4.73,26.5,1
"405","Carl Nicks","New Orleans Saints","nor",2010,NA,NA,NA,NA,NA,NA,"OL",2008,5,164,77,343,"1985-05-14",5.22,7.91,31,109,77,341,4.68,25.5,1
"406","LeSean McCoy","Philadelphia Eagles","phi",2010,17,0,6,"rib shoulder",5,12,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,1
"407","Sebastian Vollmer","New England Patriots","nwe",2010,17,0,1,"shin",17,17,"OL",2009,2,58,80,315,"1984-07-10",NA,NA,NA,NA,NA,NA,NA,NA,1
"409","Roberto Garza","Chicago Bears","chi",2010,18,2,4,"knee",4,8,"OL",2001,4,99,74,310,"1979-03-26",5,7.71,37,114,74,303,4.53,32.5,1
"501","Will Beatty","New York Giants","nyg",2011,20,10,11,"back eye",10,20,"OL",2009,2,60,78,291,"1985-03-02",5.06,7.62,27,107,78,307,4.77,33.5,1
"533","Nick Hayden","Cincinnati Bengals","cin",2011,NA,NA,NA,NA,NA,NA,"DEF",2008,6,181,76,295,"1986-02-04",5.14,7.55,34,108,76,291,4.54,27,0
